,vessel_name_nontug,vessel_name_tug,navigation_speed_nontug,navigation_speed_tug,navigation_course_nontug,navigation_course_tug,speed_diff,navigation_diff,distance_km,time_diff,navigation_time_nontug
62044,IRELAND,BUCCANEER,10.5,0.1,334.9,239.3,10.4,95.59999999999997,58.48086996284701,-0.4,2021-04-07 17:46:46+00:00
64549,IRELAND,BUCCANEER,8.4,0.1,326.7,239.3,8.3,87.39999999999998,45.665438814326166,-0.03333333333333333,2021-04-07 18:26:55+00:00
65489,IRELAND,BUCCANEER,7.6,0.1,324.2,239.3,7.5,84.89999999999998,42.11922438682367,-0.11666666666666667,2021-04-07 18:41:59+00:00
65803,IRELAND,BUCCANEER,9.6,0.1,327.0,239.3,9.5,87.69999999999999,40.75208714474833,0.06666666666666667,2021-04-07 18:46:57+00:00
66982,IRELAND,SABINE,8.5,0.1,291.2,225.4,8.4,65.79999999999998,7.171270511217383,0.03333333333333333,2021-04-07 19:06:56+00:00
67296,IRELAND,SABINE,8.9,1.0,317.1,256.3,7.9,60.80000000000001,6.077992668212417,0.0,2021-04-07 19:11:58+00:00
67610,IRELAND,SABINE,8.6,8.3,341.0,164.6,0.29999999999999893,176.4,3.9127158009755183,0.21666666666666667,2021-04-07 19:16:46+00:00
67682,IRELAND,BUCCANEER,8.6,0.1,341.0,239.3,8.5,101.69999999999999,34.56429658926202,-0.06666666666666667,2021-04-07 19:16:46+00:00
67924,IRELAND,SABINE,9.0,8.3,342.0,162.6,0.6999999999999993,179.4,1.2176984952312349,0.03333333333333333,2021-04-07 19:21:56+00:00
68238,IRELAND,SABINE,8.7,8.8,341.1,342.3,0.10000000000000142,1.1999999999999886,0.03709277987807684,0.05,2021-04-07 19:26:56+00:00
68552,IRELAND,SABINE,8.0,8.2,14.4,5.9,0.1999999999999993,8.5,0.09862197430186531,0.03333333333333333,2021-04-07 19:31:55+00:00
68866,IRELAND,SABINE,7.8,8.1,7.9,18.5,0.2999999999999998,10.6,0.09380631552351207,0.0,2021-04-07 19:37:00+00:00
68935,IRELAND,BUCCANEER,7.8,0.1,7.9,239.3,7.7,231.4,29.687842087959865,-0.3333333333333333,2021-04-07 19:37:00+00:00
69180,IRELAND,SABINE,7.1,7.2,16.3,11.3,0.10000000000000053,5.0,0.10121271791262584,-0.05,2021-04-07 19:42:00+00:00
69494,IRELAND,SABINE,5.5,5.4,39.6,39.7,0.09999999999999964,0.10000000000000142,0.09831286418823879,0.05,2021-04-07 19:46:56+00:00
69808,IRELAND,SABINE,4.1,4.0,39.7,42.6,0.09999999999999964,2.8999999999999986,0.09988259706781516,0.0,2021-04-07 19:51:58+00:00
70122,IRELAND,SABINE,3.9,4.0,41.2,40.6,0.10000000000000009,0.6000000000000014,0.09749471988958991,-0.03333333333333333,2021-04-07 19:57:00+00:00
70436,IRELAND,SABINE,5.2,5.4,26.6,33.7,0.20000000000000018,7.100000000000001,0.10208990807580078,0.0,2021-04-07 20:01:57+00:00
70750,IRELAND,SABINE,7.4,7.5,37.8,34.1,0.09999999999999964,3.6999999999999957,0.09550214308365108,0.05,2021-04-07 20:06:57+00:00
71064,IRELAND,SABINE,8.2,8.3,38.5,38.1,0.10000000000000142,0.3999999999999986,0.09395416154165365,0.016666666666666666,2021-04-07 20:11:56+00:00
71378,IRELAND,SABINE,8.6,8.7,37.8,40.7,0.09999999999999964,2.9000000000000057,0.09490109411740968,0.08333333333333333,2021-04-07 20:16:55+00:00
71692,IRELAND,SABINE,8.0,8.0,44.2,45.3,0.0,1.0999999999999943,0.05695993904166595,0.18333333333333332,2021-04-07 20:21:47+00:00
72006,IRELAND,SABINE,7.6,7.7,36.2,36.4,0.10000000000000053,0.19999999999999574,0.087734594509611,0.03333333333333333,2021-04-07 20:26:56+00:00
72320,IRELAND,SABINE,5.3,5.3,43.9,47.9,0.0,4.0,0.09584788327271243,0.06666666666666667,2021-04-07 20:31:56+00:00
72634,IRELAND,SABINE,5.1,5.1,39.4,35.7,0.0,3.6999999999999957,0.09590616669465117,0.05,2021-04-07 20:36:55+00:00
72948,IRELAND,SABINE,4.9,4.6,38.4,36.1,0.3000000000000007,2.299999999999997,0.024185258800090762,0.6833333333333333,2021-04-07 20:41:17+00:00
