device_mmsi,Lenght,Width,Type
236452000,89,12,cargo
246367000,99,11,cargo
372104000,336,46,cargo
244660631,0,0,other
636018240,278,40,cargo
248971000,107,15,cargo
244110011,62,7,cargo
244790003,14,4,other
215764000,130,20,tanker
244730961,110,12,other
244050119,10,3,other
269057131,110,11,tanker
244070682,12,4,sailing
352411000,199,32,cargo
235094317,12,5,other
205320790,129,23,cargo
244005969,135,18,tanker
244630985,135,12,cargo
244925232,20,6,other
244717914,18,5,other
244690178,9,3,other
244683000,90,14,cargo
563142900,183,32,cargo
205332230,11,4,sailing
229941000,152,22,cargo
477591300,254,43,cargo
244630748,183,12,cargo
210113000,99,14,tanker
244710843,86,9,tanker
244090566,14,4,sailing
244630911,12,4,sailing
245945000,52,9,other
566502000,175,29,tanker
314553000,88,13,cargo
244770598,10,4,other
244063000,89,13,cargo
304955000,103,16,tanker
215777000,274,48,tanker
352586000,229,32,cargo
211617950,110,12,tanker
244095000,22,6,other
566671000,120,21,tanker
205334330,0,0,other
538090453,200,30,cargo
255805906,141,20,cargo
538005713,292,45,cargo
244750413,80,9,cargo
244860208,11,4,sailing
244690961,13,4,other
538007623,186,28,cargo
226003310,74,8,cargo
244710406,35,5,tanker
244002321,18,5,sailing
211265530,100,19,cargo
636012804,204,32,other
372488000,50,10,other
538006351,200,23,cargo
244780000,95,13,cargo
244780213,85,12,tanker
372955000,293,32,cargo
246671000,169,25,cargo
563052000,145,23,tanker
244980000,215,32,other
211576840,86,10,tanker
244690564,135,12,cargo
538008116,183,32,tanker
366708180,52,10,other
215173000,399,54,cargo
244061159,50,25,other
246026000,18,5,other
248742000,217,32,cargo
244820724,10,4,other
244125359,11,4,sailing
538009258,200,32,cargo
244810730,87,11,cargo
236567000,117,18,tanker
244090259,12,4,sailing
538003431,179,32,tanker
372616000,277,48,tanker
244965000,24,6,other
538008478,126,20,tanker
244014405,86,12,cargo
244013407,12,4,sailing
211724500,120,32,other
244750318,135,11,cargo
244860469,14,4,other
244051268,16,5,other
244710904,125,12,tanker
244059473,12,6,sailing
235091541,27,11,other
244780246,23,6,sailing
244620846,183,12,cargo
352192000,229,32,cargo
244716806,86,10,tanker
244130934,13,4,sailing
246210000,19,6,other
244740673,9,3,sailing
235013964,27,7,other
357658000,199,32,cargo
205278990,135,12,tanker
244630786,26,23,other
212878000,109,17,tanker
219309000,187,28,tanker
244630402,135,15,cargo
235104739,100,16,tanker
244660350,10,3,sailing
205277130,12,4,sailing
244630665,60,5,cargo
244033179,13,4,sailing
246479000,90,14,cargo
219115000,200,36,cargo
314238000,101,17,cargo
205218990,80,10,other
636019453,330,60,tanker
244100709,11,4,sailing
205529790,90,6,other
244650248,15,4,other
244030920,14,4,other
244750563,23,6,other
244700350,55,7,cargo
636021515,154,36,tanker
538006366,183,32,tanker
314629000,90,15,cargo
205372590,135,12,cargo
244630100,110,12,tanker
205557230,7,3,other
211102050,11,3,other
244052149,11,3,sailing
244820851,11,3,sailing
563094100,180,32,tanker
205037300,0,3,other
246381000,16,5,other
211832560,11,4,sailing
538006080,250,44,tanker
244615936,14,4,other
246581000,24,6,other
244740072,68,7.5,cargo
371799000,284,40,cargo
250004289,87,15,cargo
211154240,10,3,sailing
211802130,11,4,other
218833000,333,48,cargo
636017514,294,32,cargo
636017830,182,32,tanker
304408000,101,15,cargo
244650920,85,10,other
244690760,10,3,sailing
352001037,229,32,cargo
245909000,90,13,cargo
244700118,60,7,cargo
477883300,260,32,cargo
636020396,190,32,cargo
245378000,38,7,other
244780376,23,6,other
226000550,75,6,cargo
203356200,12,4,sailing
244002742,11,4,other
538008501,183,32,tanker
563080700,333,60,tanker
244700263,85,10,cargo
538005879,200,32,cargo
205637100,12,4,sailing
244670228,65,7,cargo
244012010,8,3,other
275513000,83,12,cargo
244987431,135,12,tanker
255805609,300,50,cargo
244131131,13,4,sailing
244150433,18,5,other
244650999,67,8,cargo
636017472,324,48,cargo
244180248,9,0,sailing
244710710,125,10,other
636019320,228,32,cargo
209916000,89,13,cargo
244850179,23,6,other
244290173,11,4,sailing
261183930,55,7,other
244620934,135,12,other
244023670,11,4,sailing
244850045,73,8,cargo
563101700,99,17,tanker
244670969,60,7,cargo
244009257,0,0,other
244710352,85,10,tanker
244650991,64,10,cargo
244615481,14,5,sailing
244020398,12,3,other
244008800,7,3,sailing
215185000,300,40,cargo
235101974,0,0,other
261006820,45,8,cargo
352031000,177,28,cargo
376532000,81,10,cargo
244630034,190,24,cargo
215798000,250,44,tanker
244660962,116,24,cargo
319253300,98,16,other
205534890,135,17,tanker
244660735,40,6,cargo
244100423,12,4,other
636021344,276,48,tanker
565592000,180,28,tanker
244820722,10,4,other
255806430,300,48,cargo
257632090,12,5,sailing
244075654,5,2,other
244210796,9,3,sailing
244630680,10,3,sailing
244780456,13,4,other
209151000,88,12,cargo
244710038,100,11,cargo
205045800,110,14,tanker
219344000,25,5,sailing
244020207,110,12,tanker
244630625,7,3,other
211882460,88,12,cargo
244670699,85,10,other
244090286,10,3,sailing
244000273,14,4,other
244850268,10,3,sailing
246820000,10,6,other
636092742,229,38,cargo
244670413,114,12,cargo
205391990,110,12,tanker
219018501,399,60,cargo
205488590,55,7,cargo
244218266,0,0,other
211744760,110,13,tanker
244012150,0,0,other
244700109,86,11,cargo
314191000,88,13,cargo
215535000,243,42,tanker
244312797,110,12,cargo
244730392,13,4,other
232029382,15,4,sailing
211741780,12,4,sailing
249813000,120,17,tanker
636092784,300,46,cargo
244850975,30,11,other
244770476,86,11,other
226007760,74,6,other
538004032,274,48,tanker
244001448,86,12,other
244830609,86,15,tanker
211473910,100,10,tanker
244164835,13,4,sailing
205366190,135,11,cargo
255805937,134,23,cargo
244670773,148.5,17.5,cargo
244137539,110,12,other
247326000,127,20,tanker
548997000,200,32,cargo
248033000,182,32,tanker
244750494,97,12,cargo
205485190,83,10,cargo
311034300,75,40,other
244630754,12,4,sailing
636020400,141,24,tanker
205320190,67,7,cargo
305268000,141,22,cargo
314621000,88,12,cargo
244870140,125,11,tanker
351404000,400,62,cargo
244690110,109,23,cargo
244192858,11,3,other
210855000,109,16,tanker
305627000,93,13,cargo
636014944,228,32,tanker
538005771,184,27,tanker
636019103,292,45,cargo
211600730,12,4,sailing
636021224,230,38,cargo
563078400,292,32,cargo
563621000,183,32,tanker
255806249,166,25,cargo
636018191,208,30,cargo
219019859,0,0,sailing
636021516,154,36,tanker
538007364,219,38,tanker
244020463,110,12,other
352001258,183,31,cargo
538006449,333,60,tanker
244210325,15,4,sailing
244780816,13,4,other
235089284,91,16,tanker
246788000,108,16,cargo
244010071,10,3,other
244670594,0,0,other
244050210,14,4,other
636019212,180,32,tanker
244750402,25,4,other
244710631,85,10,cargo
538005753,289,46,tanker
244750047,55,7,cargo
212584000,99,13,cargo
244770715,15,5,other
255806384,130,19,tanker
229015000,109,17,tanker
241622000,332,60,tanker
244437965,19,6,other
477163900,186,32,tanker
227155810,11,4,other
255806251,106,18,cargo
636017668,307,40,cargo
244820064,13,4,other
538009486,180,30,cargo
256625000,179,32,tanker
255805753,101,16,tanker
244750742,90,11,cargo
211327660,31,12,other
244660500,86,10,tanker
244700130,111,29,cargo
356477000,110,19,cargo
244100223,135,18,other
219086000,300,43,cargo
244650905,172,12,cargo
244790759,17,5,other
538002734,260,32,cargo
305739000,144,23,cargo
255805652,151,24,cargo
244130457,13,4,other
244007958,15,4,other
235096859,90,16,tanker
205238190,86,12,tanker
636021905,224,32,cargo
244000686,13,4,other
229879000,184,27,tanker
244660438,82,10,other
244790596,12,4,sailing
244710092,80,8,cargo
211127350,0,0,other
351249000,336,46,cargo
205549290,110,15,tanker
205384190,105,12,other
211285500,11,4,other
244058610,17,5,other
244110641,11,4,other
244002037,9,3,sailing
244010853,15,4,other
205315290,110,11,cargo
244087627,110,12,tanker
219554000,130,20,tanker
636015943,154,25,tanker
304057000,90,14,cargo
244830912,8,2,sailing
246685000,88,13,cargo
636020817,206,43,cargo
255805899,149,23,cargo
248282000,93,14,tanker
244700704,50,8,cargo
311043800,109,18,cargo
305380000,140,22,cargo
230138350,106,26,cargo
255806229,103,16,tanker
205351390,110,12,tanker
244710321,86,10,cargo
538008670,183,32,tanker
211519980,110,12,tanker
205437410,10,3,sailing
353978000,196,32,cargo
275517000,104,15,cargo
235080274,240,32,other
245864000,133,16,cargo
538007004,185,32,cargo
244620168,11,3,sailing
244710254,42,6,other
209715000,134,24,cargo
244710232,135,12,cargo
438031044,141,21,cargo
244630410,15,6,other
477728400,300,43,cargo
244313877,86,12,tanker
244710818,14,4,other
244046823,15,4,other
244670835,85,9,tanker
244700259,35,6,other
244650986,116,12,other
205285890,172,12,cargo
636015119,274,48,tanker
244126358,14,4,sailing
244710007,110,11,cargo
244030315,11,4,other
244184354,67,10,cargo
