# STN,YYYYMMDD,H,Datetime,   DD,   FH,Direction,Wind_speed
330,20220531,1,2022-05-31 01:00:00+00:00,100,30,E,Low
330,20220531,2,2022-05-31 02:00:00+00:00,120,30,SE,Low
330,20220531,3,2022-05-31 03:00:00+00:00,120,30,SE,Low
330,20220531,4,2022-05-31 04:00:00+00:00,110,30,E,Low
330,20220531,5,2022-05-31 05:00:00+00:00,120,30,SE,Low
330,20220531,6,2022-05-31 06:00:00+00:00,120,30,SE,Low
330,20220531,7,2022-05-31 07:00:00+00:00,120,30,SE,Low
330,20220531,8,2022-05-31 08:00:00+00:00,150,20,SE,Low
330,20220531,9,2022-05-31 09:00:00+00:00,130,10,SE,Low
330,20220531,10,2022-05-31 10:00:00+00:00,320,20,NW,Low
330,20220531,11,2022-05-31 11:00:00+00:00,330,40,NW,Mid
330,20220531,12,2022-05-31 12:00:00+00:00,330,40,NW,Mid
330,20220531,13,2022-05-31 13:00:00+00:00,340,40,N,Mid
330,20220531,14,2022-05-31 14:00:00+00:00,300,50,NW,Mid
330,20220531,15,2022-05-31 15:00:00+00:00,310,50,NW,Mid
330,20220531,16,2022-05-31 16:00:00+00:00,10,30,N,Low
330,20220531,17,2022-05-31 17:00:00+00:00,340,20,N,Low
330,20220531,18,2022-05-31 18:00:00+00:00,190,30,S,Low
330,20220531,19,2022-05-31 19:00:00+00:00,180,30,S,Low
330,20220531,20,2022-05-31 20:00:00+00:00,220,40,SW,Mid
330,20220531,21,2022-05-31 21:00:00+00:00,220,40,SW,Mid
330,20220531,22,2022-05-31 22:00:00+00:00,200,40,S,Mid
330,20220531,23,2022-05-31 23:00:00+00:00,130,30,SE,Low
330,20220531,24,2022-06-01 00:00:00+00:00,150,30,SE,Low
330,20220601,1,2022-06-01 01:00:00+00:00,220,30,SW,Low
330,20220601,2,2022-06-01 02:00:00+00:00,270,70,W,Mid
330,20220601,3,2022-06-01 03:00:00+00:00,270,90,W,High
330,20220601,4,2022-06-01 04:00:00+00:00,280,80,W,High
330,20220601,5,2022-06-01 05:00:00+00:00,280,60,W,Mid
330,20220601,6,2022-06-01 06:00:00+00:00,290,50,W,Mid
330,20220601,7,2022-06-01 07:00:00+00:00,280,40,W,Mid
330,20220601,8,2022-06-01 08:00:00+00:00,260,50,W,Mid
330,20220601,9,2022-06-01 09:00:00+00:00,280,60,W,Mid
330,20220601,10,2022-06-01 10:00:00+00:00,270,70,W,Mid
330,20220601,11,2022-06-01 11:00:00+00:00,270,80,W,High
330,20220601,12,2022-06-01 12:00:00+00:00,280,80,W,High
330,20220601,13,2022-06-01 13:00:00+00:00,280,80,W,High
330,20220601,14,2022-06-01 14:00:00+00:00,280,80,W,High
330,20220601,15,2022-06-01 15:00:00+00:00,280,80,W,High
330,20220601,16,2022-06-01 16:00:00+00:00,300,80,NW,High
330,20220601,17,2022-06-01 17:00:00+00:00,320,70,NW,Mid
330,20220601,18,2022-06-01 18:00:00+00:00,310,60,NW,Mid
330,20220601,19,2022-06-01 19:00:00+00:00,310,60,NW,Mid
330,20220601,20,2022-06-01 20:00:00+00:00,320,60,NW,Mid
330,20220601,21,2022-06-01 21:00:00+00:00,330,50,NW,Mid
330,20220601,22,2022-06-01 22:00:00+00:00,320,40,NW,Mid
330,20220601,23,2022-06-01 23:00:00+00:00,330,40,NW,Mid
330,20220601,24,2022-06-02 00:00:00+00:00,340,40,N,Mid
330,20220602,1,2022-06-02 01:00:00+00:00,340,40,N,Mid
330,20220602,2,2022-06-02 02:00:00+00:00,350,30,N,Low
330,20220602,3,2022-06-02 03:00:00+00:00,340,30,N,Low
330,20220602,4,2022-06-02 04:00:00+00:00,360,30,N,Low
330,20220602,5,2022-06-02 05:00:00+00:00,350,20,N,Low
330,20220602,6,2022-06-02 06:00:00+00:00,10,30,N,Low
330,20220602,7,2022-06-02 07:00:00+00:00,10,30,N,Low
330,20220602,8,2022-06-02 08:00:00+00:00,360,20,N,Low
330,20220602,9,2022-06-02 09:00:00+00:00,350,20,N,Low
330,20220602,10,2022-06-02 10:00:00+00:00,360,40,N,Mid
330,20220602,11,2022-06-02 11:00:00+00:00,360,50,N,Mid
330,20220602,12,2022-06-02 12:00:00+00:00,360,60,N,Mid
330,20220602,13,2022-06-02 13:00:00+00:00,10,70,N,Mid
330,20220602,14,2022-06-02 14:00:00+00:00,20,80,N,High
330,20220602,15,2022-06-02 15:00:00+00:00,20,90,N,High
330,20220602,16,2022-06-02 16:00:00+00:00,30,90,NE,High
330,20220602,17,2022-06-02 17:00:00+00:00,20,90,N,High
330,20220602,18,2022-06-02 18:00:00+00:00,30,90,NE,High
330,20220602,19,2022-06-02 19:00:00+00:00,30,90,NE,High
330,20220602,20,2022-06-02 20:00:00+00:00,40,100,NE,High
330,20220602,21,2022-06-02 21:00:00+00:00,50,70,NE,Mid
330,20220602,22,2022-06-02 22:00:00+00:00,50,60,NE,Mid
330,20220602,23,2022-06-02 23:00:00+00:00,50,50,NE,Mid
330,20220602,24,2022-06-03 00:00:00+00:00,60,50,NE,Mid
330,20220603,1,2022-06-03 01:00:00+00:00,70,60,E,Mid
330,20220603,2,2022-06-03 02:00:00+00:00,90,60,E,Mid
330,20220603,3,2022-06-03 03:00:00+00:00,80,50,E,Mid
330,20220603,4,2022-06-03 04:00:00+00:00,80,40,E,Mid
330,20220603,5,2022-06-03 05:00:00+00:00,70,50,E,Mid
330,20220603,6,2022-06-03 06:00:00+00:00,90,50,E,Mid
330,20220603,7,2022-06-03 07:00:00+00:00,80,60,E,Mid
330,20220603,8,2022-06-03 08:00:00+00:00,70,50,E,Mid
330,20220603,9,2022-06-03 09:00:00+00:00,60,60,NE,Mid
330,20220603,10,2022-06-03 10:00:00+00:00,50,50,NE,Mid
330,20220603,11,2022-06-03 11:00:00+00:00,90,60,E,Mid
330,20220603,12,2022-06-03 12:00:00+00:00,90,60,E,Mid
330,20220603,13,2022-06-03 13:00:00+00:00,80,50,E,Mid
330,20220603,14,2022-06-03 14:00:00+00:00,20,60,N,Mid
330,20220603,15,2022-06-03 15:00:00+00:00,20,90,N,High
330,20220603,16,2022-06-03 16:00:00+00:00,20,80,N,High
330,20220603,17,2022-06-03 17:00:00+00:00,20,80,N,High
330,20220603,18,2022-06-03 18:00:00+00:00,50,80,NE,High
330,20220603,19,2022-06-03 19:00:00+00:00,50,90,NE,High
330,20220603,20,2022-06-03 20:00:00+00:00,50,80,NE,High
330,20220603,21,2022-06-03 21:00:00+00:00,50,80,NE,High
330,20220603,22,2022-06-03 22:00:00+00:00,50,70,NE,Mid
330,20220603,23,2022-06-03 23:00:00+00:00,60,80,NE,High
330,20220603,24,2022-06-04 00:00:00+00:00,50,80,NE,High
330,20220604,1,2022-06-04 01:00:00+00:00,50,80,NE,High
330,20220604,2,2022-06-04 02:00:00+00:00,50,90,NE,High
330,20220604,3,2022-06-04 03:00:00+00:00,50,80,NE,High
330,20220604,4,2022-06-04 04:00:00+00:00,40,80,NE,High
330,20220604,5,2022-06-04 05:00:00+00:00,40,100,NE,High
330,20220604,6,2022-06-04 06:00:00+00:00,50,80,NE,High
330,20220604,7,2022-06-04 07:00:00+00:00,50,70,NE,Mid
330,20220604,8,2022-06-04 08:00:00+00:00,50,80,NE,High
330,20220604,9,2022-06-04 09:00:00+00:00,50,70,NE,Mid
330,20220604,10,2022-06-04 10:00:00+00:00,40,90,NE,High
330,20220604,11,2022-06-04 11:00:00+00:00,50,80,NE,High
330,20220604,12,2022-06-04 12:00:00+00:00,50,70,NE,Mid
330,20220604,13,2022-06-04 13:00:00+00:00,40,80,NE,High
330,20220604,14,2022-06-04 14:00:00+00:00,30,90,NE,High
330,20220604,15,2022-06-04 15:00:00+00:00,50,90,NE,High
330,20220604,16,2022-06-04 16:00:00+00:00,20,80,N,High
330,20220604,17,2022-06-04 17:00:00+00:00,20,70,N,Mid
330,20220604,18,2022-06-04 18:00:00+00:00,30,80,NE,High
330,20220604,19,2022-06-04 19:00:00+00:00,30,80,NE,High
330,20220604,20,2022-06-04 20:00:00+00:00,30,90,NE,High
330,20220604,21,2022-06-04 21:00:00+00:00,50,80,NE,High
330,20220604,22,2022-06-04 22:00:00+00:00,50,80,NE,High
