,from,from_rounded,from_location,to_haven,trip_ID,vessel_mmsi,geometry
0,2022-05-31 22:49:33+00:00,2022-05-31 23:00:00+00:00,"[4.06852, 51.98272]",MISS,0,370604000,POINT (4.06852 51.98272)
1,2022-05-31 22:49:32+00:00,2022-05-31 23:00:00+00:00,"[4.06852, 51.98272]",MISS,0,370604000,POINT (4.06852 51.98272)
2,2022-05-31 22:54:16+00:00,2022-05-31 23:00:00+00:00,"[4.08358, 51.97713]",MISS,0,370604000,POINT (4.08358 51.97713)
5,2022-05-31 23:39:58+00:00,2022-06-01 00:00:00+00:00,"[4.28209, 51.89865]",BOTL,2,538005077,POINT (4.28209 51.89865)
8,2022-05-31 23:34:58+00:00,2022-06-01 00:00:00+00:00,"[4.14163, 51.96557]",3PET,4,538005865,POINT (4.14163 51.96557)
13,2022-06-01 01:11:15+00:00,2022-06-01 01:00:00+00:00,"[4.08005, 51.97787]",PET8,7,538007563,POINT (4.08005 51.97787)
14,2022-06-01 01:11:15+00:00,2022-06-01 01:00:00+00:00,"[4.08005, 51.97787]",PET8,7,538007563,POINT (4.08005 51.97787)
15,2022-06-01 01:20:30+00:00,2022-06-01 01:00:00+00:00,"[4.07866, 51.97826]",AMAZ,8,218366000,POINT (4.07866 51.97826)
16,2022-06-01 01:20:40+00:00,2022-06-01 01:00:00+00:00,"[4.07866, 51.97826]",AMAZ,8,218366000,POINT (4.07866 51.97826)
17,2022-06-01 02:21:53+00:00,2022-06-01 02:00:00+00:00,"[4.08139, 51.97659]",AMAZ,9,218854000,POINT (4.08139 51.97659)
18,2022-06-01 02:20:35+00:00,2022-06-01 02:00:00+00:00,"[4.07844, 51.97854]",AMAZ,9,218854000,POINT (4.07844 51.97854)
20,2022-06-01 03:50:45+00:00,2022-06-01 04:00:00+00:00,"[4.31307, 51.89364]",NMBOT,11,220530000,POINT (4.31307 51.89364)
38,2022-06-01 07:14:53+00:00,2022-06-01 07:00:00+00:00,"[4.07111, 51.96179]",EURO,22,319113500,POINT (4.07111 51.96179)
42,2022-06-01 07:55:24+00:00,2022-06-01 08:00:00+00:00,"[4.07592, 51.97932]",6PET,25,219337000,POINT (4.07592 51.97932)
43,2022-06-01 07:55:08+00:00,2022-06-01 08:00:00+00:00,"[4.07592, 51.97932]",6PET,25,219337000,POINT (4.07592 51.97932)
44,2022-06-01 08:20:38+00:00,2022-06-01 08:00:00+00:00,"[4.33713, 51.89477]",NMBOT,26,563621000,POINT (4.33713 51.89477)
45,2022-06-01 08:20:39+00:00,2022-06-01 08:00:00+00:00,"[4.33713, 51.89477]",NMBOT,26,563621000,POINT (4.33713 51.89477)
46,2022-06-01 07:40:20+00:00,2022-06-01 08:00:00+00:00,"[4.08437, 51.97617]",AMALIA,27,636017433,POINT (4.08437 51.97617)
47,2022-06-01 07:35:11+00:00,2022-06-01 08:00:00+00:00,"[4.07186, 51.98155]",AMALIA,27,636017433,POINT (4.07186 51.98155)
48,2022-06-01 09:00:54+00:00,2022-06-01 09:00:00+00:00,"[4.41074, 51.89972]",WAAL,28,212836000,POINT (4.41074 51.89972)
