,to,to_rounded,to_location,from_haven,trip_ID,vessel_mmsi,geometry
3,2022-06-01 00:30:17+00:00,2022-05-31 23:00:00+00:00,"[4.08905, 51.96774]",AMAZ,1,355271000,POINT (4.08905 51.96774)
4,2022-06-01 00:30:17+00:00,2022-05-31 23:00:00+00:00,"[4.08905, 51.96774]",AMAZ,1,355271000,POINT (4.08905 51.96774)
6,2022-06-01 01:05:50+00:00,2022-06-01 01:00:00+00:00,"[4.34927, 51.89759]",NMBOT,3,538008833,POINT (4.34927 51.89759)
7,2022-06-01 01:11:14+00:00,2022-06-01 00:00:00+00:00,"[4.3363, 51.89495]",NMBOT,3,538008833,POINT (4.3363 51.89495)
9,2022-06-01 01:56:25+00:00,2022-06-01 01:00:00+00:00,"[4.08988, 51.96918]",AMAZ,5,636092784,POINT (4.08988 51.96918)
10,2022-06-01 01:56:33+00:00,2022-06-01 01:00:00+00:00,"[4.08988, 51.96918]",AMAZ,5,636092784,POINT (4.08988 51.96918)
11,2022-06-01 01:46:24+00:00,2022-06-01 00:00:00+00:00,"[4.3541, 51.89852]",WAAL,6,564002000,POINT (4.3541 51.89852)
12,2022-06-01 01:31:21+00:00,2022-06-01 00:00:00+00:00,"[4.40205, 51.89847]",WAAL,6,564002000,POINT (4.40205 51.89847)
19,2022-06-01 03:43:14+00:00,2022-06-01 03:00:00+00:00,"[4.32092, 51.89502]",1PET,10,355093000,POINT (4.32092 51.89502)
21,2022-06-01 05:44:17+00:00,2022-06-01 05:00:00+00:00,"[4.20456, 51.92622]",CKBRUG,12,563621000,POINT (4.20456 51.92622)
22,2022-06-01 05:44:23+00:00,2022-06-01 05:00:00+00:00,"[4.20456, 51.92622]",CKBRUG,12,563621000,POINT (4.20456 51.92622)
23,2022-06-01 05:49:17+00:00,2022-06-01 05:00:00+00:00,"[4.32731, 51.89448]",NMBOT,13,319113500,POINT (4.32731 51.89448)
24,2022-06-01 05:49:25+00:00,2022-06-01 05:00:00+00:00,"[4.30042, 51.89562]",CHEM,14,538004628,POINT (4.30042 51.89562)
29,2022-06-01 06:24:37+00:00,2022-06-01 06:00:00+00:00,"[4.19582, 51.93099]",7PET,16,249435000,POINT (4.19582 51.93099)
30,2022-06-01 06:29:54+00:00,2022-06-01 06:00:00+00:00,"[4.18338, 51.93766]",7PET,16,249435000,POINT (4.18338 51.93766)
